thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
大江南北,dà jiāng nán běi,đại giang nam bắc ,,Chính phụ,Tích cực,Thành ngữ về sông lớn (Giang),"Làm chủ ngữ, tân ngữ, định ngữ; chỉ khu vực ven sông Trường Giang",Chỉ vùng rộng lớn nằm dọc hai bờ trung và hạ lưu sông Trường Giang.,而大江南北，以文名天下者，几于昌（猖）狂无理，排溺一世之人，其势力至今未已。（清 恽敬《上曹俪笙侍郎书》）,"Còn vùng hai bờ sông Trường Giang, những người nổi tiếng về văn chương thì gần như điên cuồng vô lý, chèn ép, vùi dập những người tài năng trong thiên hạ — thế lực ấy cho đến nay vẫn chưa suy yếu.",,,"""Trong Thượng Tào Li Thăng Thị Lang Thư của Duyên Kính (thời Thanh): 'Và từ nam đến bắc của đại giang, những người nổi danh văn học khắp thiên hạ, hầu hết đều là những kẻ điên cuồng, vô lý, xua đuổi những người bị coi là hạ đẳng, thế lực của họ đến nay vẫn chưa dừng lại.'""",
大法小廉,dà fǎ xiǎo lián,đại pháp tiểu liêm,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ; chỉ ai nấy làm tròn bổn phận","Thời xưa dùng để chỉ đại thần thì phải hết lòng vì vua, tiểu thần thì phải tận tụy với chức trách — ai nấy đều làm tròn trách nhiệm của mình.",清·文康《儿女英雄传》第33回：“末吏有个知识，便规谏上宪，一堂和气，大法小廉。”,"Một viên quan lại nhỏ mà cũng có học thức, liền can gián cấp trên — cả công đường hòa thuận, người trên giữ nghiêm phép lớn, kẻ dưới giữ tròn lẽ phải.",,,"""Trong Lễ Ký – Lễ Vận: 'Quan lại phải tuân theo phép tắc, tiểu thần phải giữ gìn phẩm hạnh, chức vụ trong triều phải được xếp đặt theo thứ tự, vua và tôi phải đúng mực, đó là sự thịnh vượng của quốc gia.'""",
大浪淘沙,dà làng táo shā,đại lãng đào sa,,Chủ vị,Tích cực,,"Làm chủ ngữ, tân ngữ, định ngữ; dùng trong bối cảnh đấu tranh khốc liệt","“Đào” nghĩa là dùng nước để rửa sạch — như trong dòng nước lớn cuốn trôi cát bụi, để lại vàng. Cụm từ này là phép ẩn dụ chỉ việc được thử thách, chọn lọc qua đấu tranh khốc liệt, từ đó giữ lại những tinh hoa.",这支队伍经过严峻的锻炼和考验，质量更高了，是大浪淘沙保留下来的精华。（粟裕《激流归大海》）,Đội ngũ này sau khi trải qua rèn luyện và thử thách nghiêm khắc thì chất lượng đã nâng cao rõ rệt — chính là tinh hoa được giữ lại sau cơn sóng dữ gột rửa.,,,"""Trong Kích Lưu Quy Đại Hải của Tố Dư: 'Đội quân này đã trải qua thử thách và rèn luyện khắc nghiệt, chất lượng càng cao hơn, là tinh hoa được giữ lại sau khi sóng lớn cuốn trôi cát đá.'""",
大海一针,dà hǎi yī zhēn,đại hải nhất châm,,Chính phụ,Tích cực,Thành ngữ chỉ làm việc khó khăn,"Làm tân ngữ, định ngữ, trạng ngữ; dùng trong câu ẩn dụ","“Mò kim đáy bể” — chỉ việc không có manh mối gì để tìm, cực kỳ khó khăn, gần như không thể thực hiện.",,,大海捞针、东海捞针,,"""Trong Thạch Điểm Đầu – Vương Bản Lập Thiên Hạ Cầu Phụ của Thiên Nhiên Si Sử (thời Minh): 'Dấu vết của Vương Tuấn không có phương hướng, rõ ràng như một cây kim trong đại dương, làm sao tìm ra được.'""",
大海捞针,dà hǎi lāo zhēn,đại hải liệu châm,,Chính phụ,Tích cực,Thành ngữ chỉ làm việc khó khăn,"Làm tân ngữ, định ngữ, trạng ngữ; dùng trong câu ẩn dụ","“Mò kim đáy bể” — chỉ việc cực kỳ khó tìm, khả năng thành công rất nhỏ.",要打听前任巡检太爷家眷的下落，那真是大海捞针一般，问了半天，没有人知道的。（清 吴趼人《二十年目睹之怪现状》第一百七回）,"Muốn dò hỏi tung tích gia quyến của vị tuần kiểm tiền nhiệm, đúng là như mò kim đáy bể — hỏi suốt nửa ngày mà chẳng ai biết gì cả.",难如登天、海中捞月,,"""Trong Tích Chai Ký – Ngộ Phúc của Kho Đan Khu (thời Nguyên): 'Con à, kiếp này đừng mong được nằm chung gối, muốn gặp nhau thì trừ khi vớt kim từ biển Đông.'""",
大渐弥留,dà jiàn mí liú,đại tiệm di lưu ,,Chính phụ,Tích cực,Thành ngữ về ranh giới giữa sự sống và cái chết,"Làm định ngữ; chỉ tình trạng nguy kịch, sắp qua đời","“Đại tiệm” (大渐) nghĩa là bệnh nguy kịch; “di lưu” (弥留) ban đầu chỉ bệnh lâu ngày không khỏi, sau dùng để chỉ tình trạng hấp hối. Cụm từ “大渐弥留” diễn tả trạng thái người bệnh đang cận kề cái chết.",既而天机忽爽，大渐弥留。（唐 王勃《常州刺史平原郡开国公行状》）,"“Sau đó thần trí đột nhiên trở nên hỗn loạn, bệnh tình nguy kịch và rơi vào trạng thái hấp hối.”",临终之际,,"""Trong Thượng Thư – Cố Mệnh: 'Cơn bệnh nặng dần, chỉ còn một tia hy vọng, bệnh tình ngày càng nặng, đã đến lúc sắp kết thúc.'

Trong Văn Tuyển – Vương Kiệm của Tiêu Tông (Nam Triều – Lương): 'Mệnh lệnh của thiên đình không lâu dài, bệnh tình ngày càng nặng, sắp đến lúc kết thúc.'""",
大澈大悟,dà chè dà wù,đại triệt đại ngộ ,ABAC,Liên hợp,Tích cực,Thành ngữ về lĩnh hội,"Làm vị ngữ, định ngữ, trạng ngữ; chỉ sự giác ngộ hoàn toàn","“Triệt” nghĩa là thấu hiểu rõ ràng; “ngộ” là lĩnh hội, nhận ra. Cụm từ “大澈大悟” dùng để miêu tả sự tỉnh ngộ sâu sắc, hiểu rõ chân lý hoặc lẽ phải sau một quá trình trải nghiệm hoặc bối rối.",到这时候，我仿佛大澈大悟了不是？（清 刘鹗《老残游记续编》第四回）,"Đến lúc này rồi, chẳng phải tôi đã hoàn toàn tỉnh ngộ rồi sao?",大彻大悟,,"""Trong Y Yển Canh Tân của Trịnh Đức Huỳnh (thời Nguyên), phần Mở Đầu: 'Khi lên trời, trước tiên phải tham cứu đạo nghèo, học được bí quyết tiên, sau khi đại ngộ, mới có thể lên chín tầng trời, chầu bậc chân nhân và chiêm ngưỡng nguyên thủy.'""",
大烹五鼎,dà pēng wǔ dǐng,đại phanh ngũ đỉnh,,Động tân,Tích cực,,"Làm tân ngữ, định ngữ; dùng trong bối cảnh đời sống","“Phanh” nghĩa là nấu nướng; “ngũ đỉnh” là chỉ các món lễ vật cao cấp được dùng trong tế lễ thời xưa của sĩ đại phu. Cụm từ này dùng để miêu tả đồ ăn thức uống tinh tế, sang trọng — từ đó mở rộng nghĩa, chỉ cuộc sống xa hoa, hưởng thụ.",,,食前方丈,,"""Trong Đông Âu Nữ Hào Kiệt của Lĩnh Nam Vũ Y Nữ Sĩ (thời Thanh), hồi 1: 'Dù sống trong cung điện sâu thẳm, được ăn những món ăn cao lương mỹ vị, nhìn thì có vẻ như cực kỳ hạnh phúc, nhưng thực ra trong lòng luôn là một chiến trường giữa thiên thần và ác quỷ.'""",
大煞风景,dà shā fēng jǐng,đại sát phong cảnh,,Động tân,Tiêu cực,,"Làm vị ngữ, định ngữ; mang nghĩa chê bai, thường dùng để đối lập với sự tốt đẹp",Chỉ việc phá hỏng khung cảnh tươi đẹp hoặc làm cụt hứng. Là phép ẩn dụ dùng để chỉ điều gì đó làm giảm sút sự hứng thú hoặc vẻ mỹ quan vốn có.,漂亮的公园里，鸟语花香，路边却堆着一堆垃圾，真是大煞风景。,"Trong công viên xinh đẹp, chim hót hoa nở, vậy mà ven đường lại chất một đống rác — đúng là làm mất hết cả cảnh đẹp.",兴致索然、败兴而归,,"""Trong Tạp Toản của Lý Thương Ẩn (thời Đường): 'Những hành động như 'uống rượu giữa hoa' và 'cầm lửa dưới trăng' đều được coi là những việc làm phá vỡ phong cảnh.'""",
大煞风趣,dà shà fēng qù,đại sát phong thú,,Động tân,Tích cực,,"Làm vị ngữ, định ngữ; dùng để đối lập với điều tốt đẹp","Chỉ việc phá hỏng cảnh đẹp vốn có. Là phép ẩn dụ chỉ hành động hay sự vật khiến người ta cụt hứng, mất vui — đồng nghĩa với “大煞风景” (phá hỏng phong cảnh, làm cụt hứng).",,,大煞风景,,"""Trong Câu Chuyện Bổ Di của Quách Mạt Nhược: 'Ba mươi tuổi chưa lấy chồng, điều này không hợp lý, nếu tái hôn cũng không có căn cứ, lại cảm thấy thật thiếu duyên dáng, vì vậy tôi vẫn giữ nguyên như cũ, dường như không có gì thay đổi.'""",
大王好见，小鬼难当,dà wáng hǎo jiàn，xiǎo guǐ nán dāng,đại vương hảo kiến tiểu quỷ nan đương,,Câu phức,Tích cực,,"Làm tân ngữ, định ngữ; dùng trong khẩu ngữ","Chỉ hiện tượng: người đứng đầu thì dễ nói chuyện, nhưng thuộc hạ bên dưới lại khó đối phó. Là phép ẩn dụ để chỉ đám tay chân, thuộc hạ lợi dụng quyền thế của cấp trên để cưỡng ép, vòi vĩnh, làm khó người khác.",,,阎王好见，小鬼难当,,"""Trong Lộ của Lỗ Tấn: 'Hiện nay, thế gian vẫn là nơi mà 'vua thì dễ gặp, còn quỷ thì khó đối phó.'""",
大璞不完,tài bú bù wán,đại phác bất hoàn,,Rút gọn,Tích cực,,"Làm tân ngữ, định ngữ; dùng trong văn viết","Chỉ việc ngọc sau khi được chạm khắc thì mất đi dáng vẻ tự nhiên. Xưa thường dùng như một phép ẩn dụ để chỉ người đọc sách, sau khi làm quan thì đánh mất chí hướng, lý tưởng ban đầu của mình.",,,,,"""Trong Chiến Quốc Sách – Tề Sách 4: 'Ngọc sinh ra từ núi, nếu không được chế tác thì sẽ vỡ. Không phải là không có sự giàu có và vinh quang, nhưng ngọc thô lớn thì vẫn chưa hoàn thiện.'""",
大男大女,dà nán dà nǚ,đại nam đại nữ,ABAC,Liên hợp,Tích cực,,"Làm chủ ngữ, tân ngữ, định ngữ; chỉ thanh niên lớn tuổi",Chỉ những nam nữ chưa kết hôn đã vượt quá độ tuổi kết hôn thông thường.,现在大男大女不结婚是十分正常的,"Hiện nay, nam nữ lớn tuổi chưa kết hôn là điều hoàn toàn bình thường.",,,"""Tôi sao phải làm những việc đó với con trai, con gái của ông ta, hay là với chị em ruột của ông ta, làm gì có liên quan gì đến tôi?""",
大男小女,dà nán xiǎo nǚ,đại nam tiểu nữ,,Liên hợp,Tích cực,,"Làm chủ ngữ, tân ngữ, định ngữ; chỉ con cái","“Trưởng nam ấu nữ” – chỉ con trai trưởng và con gái út, về sau được dùng để chỉ chung con cái trong gia đình.",,,一男半女,,"""Trong Đông Bình Phủ (thời Minh), đoạn 2: 'Cảm tạ trời đất, mùa màng tốt tươi, con trai, con gái vui vẻ cười tươi.'""",
大白于天下,dà bái yú tiān xià,đại bạch vu thiên hạ ,,Rút gọn,Tích cực,,"Làm vị ngữ, định ngữ; dùng cho sự thật, chân tướng sự việc","“Đại bạch” nghĩa là hoàn toàn sáng tỏ, rõ ràng; “thiên hạ” nghĩa là toàn quốc, mọi người. Cụm từ này chỉ việc làm cho chân tướng sự việc được mọi người trên khắp cả nước biết đến.",季羡林《悼念沈从文先生》：“其怪异的风土人情，通过沈先生的笔而大白于天下。”,"Những phong tục kỳ lạ của vùng đất ấy, nhờ ngòi bút của ông Thẩm mà đã được làm sáng tỏ trước toàn thiên hạ.",真相大白,,"""Trong Dân Quốc Tục Thường Diễn Nghĩa của Cai Đông Phan, hồi 119: 'Chúng ta cứu nước, bảo vệ pháp luật lúc ban đầu, nếu không làm sáng tỏ trước công chúng, thì những kẻ mượn danh nghĩa này sẽ lợi dụng cơ hội để thực hiện những âm mưu riêng tư.'""",
大盗窃国,dà dào qiè guó,đại đạo thiết quốc,,Chủ vị,Tiêu cực,,"Làm tân ngữ, định ngữ; dùng trong các lĩnh vực chính trị, quốc sự, v.v.",“Chiếm đoạt”: nghĩa là ăn trộm. Dùng để mô tả những kẻ xấu chiếm đoạt quyền lực nhà nước.,李大钊《民彝与政治》：“大盗窃国，予智自雄，冯借政治上之枢机，戕贼风俗之大本。”,"Trích từ “Dân tục và Chính trị” của Lý Đại Chiêu: “Kẻ trộm lớn chiếm đoạt quốc gia, tự cho mình là người thông minh kiệt xuất, lợi dụng trọng tâm quyền lực chính trị, phá hoại gốc rễ của phong tục xã hội.”
",,,"Chiến Quốc · Tống · Trang Chu 《Trang Tử · Khư Khiếp》: “Kẻ trộm móc câu thì bị xử tử, kẻ trộm nước thì làm chư hầu; nơi cửa chư hầu, lại có nhân nghĩa tồn tại.”",
大直若屈,dà zhí ruò qū,đại trực nhược khuất,,Chủ vị,Tích cực,Thành ngữ về tính cách,"Làm vị ngữ, định ngữ, tân ngữ; dùng để miêu tả con người",Người chính trực nhất bên ngoài lại thường có vẻ nhún nhường và dễ chịu. Cũng có cách nói là “người quá thẳng thắn lại giống như đang chịu uất ức” (大直若诎 – Đại trực nhược khuất).,,,大直若屈，大巧若拙,,"《Hậu Hán thư · Tuân Thục truyện luận》：
“Đến khi ngầm mưu với họ Đổng, suýt nữa chấn hưng mệnh nước, đó là cái gọi là: ‘Đại trực như cong, đạo vốn quanh co khúc khuỷu’ vậy.”",
大直若屈，大巧若拙,dà zhí ruò qū，dà qiǎo ruò zhuō,đại trực nhược khuất đại xảo nhược chuyết ,,Câu phức,Tích cực,,"Dùng làm định ngữ, tân ngữ; thường dùng để miêu tả phẩm chất con người.","直：chính trực; 屈：thiệt thòi, chịu lép vế; 巧：khéo léo; 拙：vụng về.
Người rất chính trực thì bên ngoài lại có vẻ như chịu thiệt, người rất khéo léo thì bên ngoài lại có vẻ như vụng về.

",,,大直若屈,,"Xuân Thu · Sở · Lý Nhĩ 《Lão Tử》, Chương 45:
“Đại trực như cong, đại xảo như vụng, đại biện như ngập ngừng.”






",
大直若诎,dà zhí ruò qū, đại trực nhược truất,,Chủ vị,Tích cực,Thành ngữ về tính cách,"Dùng làm vị ngữ, định ngữ, tân ngữ; dùng để miêu tả con người.","Người chính trực nhất bên ngoài lại thường có vẻ như mềm mỏng, nhún nhường. Tương tự với câu “người thẳng thắn giống như chịu khuất” (大直若屈).",叔孙通希世度务制礼，进退与时变化，卒为汉家儒宗。‘大直若诎，道固委蛇’，盖谓是乎？★《史记·刘敬叔孙通列传论》,"Thúc Tôn Thông vì thuận theo thời thế mà dốc sức chế định lễ nghi, hành xử linh hoạt theo hoàn cảnh và thời cuộc, cuối cùng trở thành bậc tôn sư Nho học của triều Hán. Câu “Người chính trực như bị khuất, đạo lý vốn uyển chuyển” chẳng phải chính là nói về ông đó sao?",大直若屈,,"《Hàn Thi ngoại truyện》, quyển 9:
“Đại trực như cong, đại biện như ngập ngừng.”",
大相径庭,dà xiāng jìng tíng,đại tương kính đình,,Chính phụ,Tích cực,,Dùng làm vị ngữ; miêu tả sự vật có sự khác biệt rõ rệt,"径：con đường nhỏ; 庭：sân nhà; 径庭：chênh lệch lớn, cực đoan.
“Kinh đình” (径庭) nghĩa đen là từ con đường đến sân, ngụ ý sự cách biệt rất lớn, khác nhau hoàn toàn. Đây là cách nói ví von chỉ sự khác biệt rất rõ rệt, hoàn toàn không giống nhau.",虽然结果一样，其“因”却大相径庭。（鲁迅《集外集拾遗 田园思想》）,"Tuy kết quả giống nhau, nhưng nguyên nhân lại hoàn toàn khác biệt.",迥然不同、泾渭分明、截然不同、天差地别,,"《Trang Tử · Tiêu Dao Du》：
“Ta kinh sợ lời ấy, như sông Ngân hà không bờ bến vậy. Khác nhau rất lớn, chẳng hợp tình người sao?”",
大相迳庭,dà xiāng jìng tíng,đại tương kính đình,,,,,,Chỉ sự khác biệt rất lớn hoặc mâu thuẫn sâu sắc giữa hai bên.,然与鄙见复有～者，其治小学重形体而轻声类。 ★章炳麟《与人论朴学报书》,"Tuy nhiên, so với thiển kiến của tôi thì vẫn còn có chỗ khác biệt rất lớn: cách họ nghiên cứu tiểu học (ngôn ngữ học cổ) thì coi trọng hình thể chữ viết mà xem nhẹ âm vận và phân loại âm.",,,"Thanh · Lệ Ngạc 《Bạt》：
“Than ôi! Há chẳng phải khác hẳn với ý chỉ luận thế, kết bạn cùng bậc thánh hiền của Lữ công đó sao!”


",
大眼望小眼,dà yǎn wàng xiǎo yǎn,đại nhãn vọng tiểu nhãn ,,,,,,"Anh nhìn tôi, tôi nhìn anh, không biết phải làm sao cho đúng.",听到这般温柔怪诞的问话，兴奋中的二人愣在当头，～，如坠五里雾中。 ★和事《处世36计·装傻计》,"Nghe câu hỏi vừa dịu dàng vừa kỳ quái như vậy, hai người đang phấn khích bỗng sững lại, anh nhìn tôi, tôi nhìn anh, như rơi vào màn sương mù dày đặc, không hiểu chuyện gì đang xảy ra.",,,"Thanh · Ngô Kính Tử 《Nho Lâm Ngoại Sử》, hồi 3:
“Mọi người trừng mắt nhìn nhau, cùng nói: ‘Thì ra vị tân quý nhân này vui mừng đến phát cuồng.’”",
大眼瞪小眼,dà yǎn dèng xiǎo yǎn,đại nhãn trừng tiểu nhãn ,,Chủ vị,Tích cực,,"Dùng làm vị ngữ, trạng ngữ; thường dùng khi ngạc nhiên hoặc bất lực, không biết phải làm gì","Mắt to nhìn mắt nhỏ, không có cách giải quyết – ý chỉ hai bên nhìn nhau trân trân, lúng túng, bất lực.",陈忠实《白鹿原》第21章：“嫡系和杂牌正大眼瞪小眼乌龟瞅王八。”,(Trích Bạch Lộc Nguyên – chương 21 của Trần Trung Thực): “Quân chính quy với quân tạp chủng đang trừng mắt nhìn nhau – như rùa nhìn ba ba.”,小眼瞪大眼,,"Hạo Nhiên 《Yên Dương Thiên》, chương 12:
“Vài câu nói khiến Mã Liên Phúc ngơ ngác như thế, mắt trừng lớn nhìn mắt nhỏ, sau lưng mồ hôi lạnh cứ túa ra.”
",
大破大立,dà pò dà lì,đại phá đại lập,ABAC,Liên hợp,Tích cực,,"Dùng làm tân ngữ, định ngữ; chỉ việc cải tổ toàn diện","Đập tan triệt để cái cũ, xây dựng mạnh mẽ cái mới",我们要大破大立，树立新的观念,"Chúng ta phải “đại phá đại lập”, thiết lập những quan niệm mới.",,,,
大祸临头,dà huò lín tóu,đại họa lâm đầu,,Chủ vị,Tích cực,Thành ngữ về họa,"Dùng làm tân ngữ, định ngữ; chỉ tình trạng sắp phải đối mặt với nguy cơ, khủng hoảng nghiêm trọng","临：ghé đến, xảy đến. 大祸临头：đại họa sắp ập đến
“Lâm” nghĩa là đến gần. “Đại họa lâm đầu” tức là tai họa lớn sắp giáng xuống đầu.",章诒和《往事并不如烟·最后的贵族》：“一旦被别人发现，真的要大祸临头了。”,"Trích từ Hồi ức không khói bụi – Những quý tộc cuối cùng của Chương Di Hòa: “Chỉ cần bị người khác phát hiện, thì thật sự tai họa sẽ ập đến ngay.”",大难临头、大祸临门,,"Thanh · Ngô Kiến Nhân 《Hai Mươi Năm Mục Độ Chi Quái Hiện Trạng》, hồi 26:
“Làm quan đến ba phẩm, thì phải biết khéo léo rút lui, nếu không thì sẽ gặp tai họa lớn.”",
大祸临门,dà huò lín mén,đại họa lâm môn,,Chủ vị,Tiêu cực,Thành ngữ về họa,"Dùng làm tân ngữ, định ngữ; chỉ tình huống sắp đối mặt với nguy cơ nghiêm trọng","临：ghé đến (nghĩa cổ là “ghé thăm”). “即将发生大灾祸”：Tai họa lớn sắp xảy ra.
“Lâm” nghĩa là đến gần, “đại họa lâm môn” nghĩa là tai họa lớn sắp ập đến cửa nhà.",李六如《六十年的变迁》第一章：“什么‘吃硬不吃软’呢？难道将有大祸临门不成？”,"Trích Sáu mươi năm biến đổi của Lý Lục Như, chương 1: “Cái gì mà ‘cứng ăn mềm không ăn’ chứ? Chẳng lẽ sắp có đại họa giáng xuống cửa nhà sao?”",大祸临头,,"Hạo Nhiên 《Yên Dương Thiên》, chương 139:
“Tai họa lớn đã đến. Những chuyện mà họ ngày đêm lo sợ, cuối cùng cũng xảy ra.”",
大福不再,dà fú bù zài,đại phúc bất tái ,,Chủ vị,Tích cực,Thành ngữ về phúc,"Dùng làm tân ngữ, định ngữ; thường dùng trong khẩu ngữ (lời nói hàng ngày)","福：hạnh phúc, may mắn；再：lần nữa.
“Đại phúc không đến lần hai” – nghĩa là điều may mắn lớn không thể mong đợi sẽ xảy ra thêm lần nữa.",,,福无双至,,"Xuân Thu · Lỗ · Tả Chiêu Minh 《Tả Truyền · Chiêu Công năm thứ 13》:
“Phúc lớn không còn, chỉ nhận lấy nhục nhã mà thôi.”",
大禹治水,dà yǔ zhì shuǐ, đại vũ trị thủy,,Chủ vị,Tích cực,Thành ngữ về sự khen ngợi,"Dùng làm tân ngữ, định ngữ; mang nghĩa khen ngợi (tích cực)","禹：là vị thủ lĩnh vùng Trung Nguyên thời Tam Hoàng Ngũ Đế.
Đại Vũ trị thủy, dốc sức khống chế lũ lụt để mang lại cuộc sống bình yên cho nhân dân.",你知道大禹治水的故事吗？,Bạn có biết câu chuyện Đại Vũ trị thủy không?,过门不入,,"Minh · Phùng Mộng Long 《Tỉnh Thế Hằng Ngôn》, quyển 26:
“Ngày xưa Đại Vũ trị thủy, từ núi Mân dẫn nước ra sông Mân.”",
大秤小斗,dà chèng xiǎo dǒu,đại xứng tiểu đẩu ,,Liên hợp,Tích cực,,"Dùng làm tân ngữ, định ngữ; thường dùng để chỉ hành vi bóc lột, gian lận","秤：cái cân để đo lường.
Chỉ việc sử dụng cái cân nặng hơn chuẩn để thu vào, và cái đấu nhẹ hơn chuẩn để phát ra – nhằm gian lận, bóc lột, ăn chặn.",,,短斤少两、大斗小秤,,"Minh · Phùng Mộng Long 《Dụ Thế Minh Ngôn》, quyển 37:
“Không dùng cân lớn đấu nhỏ, không vi phạm pháp luật để cướp đoạt tài sản của người, hãm hại kẻ khác.”",
大笔一挥,dà bǐ yī huī, đại bút nhất huy,,Chính phụ,Tích cực,,"Dùng làm vị ngữ; thường dùng trong ngữ cảnh ký tên, viết chữ, xử lý văn bản","挥：vung tay viết.
“大笔一挥” chỉ người giỏi viết lách thì viết rất nhanh, hoặc cũng có thể chỉ việc tuỳ tiện ký tên, viết, hay sửa đổi nội dung một cách mạnh mẽ, không do dự.",钱钟书《围城》：“他们决不会了解，说不定父亲就会大笔一挥，直接向唐小姐替自己求婚，他会闹这种笑话的。”,"Trích “Vi thành” của Tiền Chung Thư: “Họ hoàn toàn không thể hiểu được, biết đâu cha tôi lại bất ngờ ‘vung bút một cái’ mà thay tôi cầu hôn cô Đường – chuyện buồn cười như vậy ông ấy cũng có thể làm ra.”",,,"Thanh · Thạch Ngọc Khâm 《Tam Hiệp Ngũ Nghĩa》, hồi 43:
“Lão tặc nhìn thấy, liền nói: ‘Chắc chắn, kết quả ổn thỏa, xin mời hiền huynh ký bút một cái.’”",
大笔如椽,dà bǐ rú chuán,đại bút như chuyên ,,Chính phụ,Tích cực,Thành ngữ về sự khen ngợi,"Dùng làm vị ngữ; để khen ngợi văn chương, ngòi bút của người khác",“Đòn tay”: thanh gỗ lớn đặt trên xà để đỡ mái nhà. “Bút lớn như đòn tay” – ví bài văn nổi tiếng hoặc nhà văn có danh tiếng.,梁实秋《梦》：“王珣梦大笔如椽，果然成大手笔。”,"Trích Giấc mơ của Lương Thực Thu: “Vương Tuân mơ thấy có cây bút lớn như đòn tay, quả nhiên sau này trở thành cây bút lớn.”",如椽大笔,,"《Tấn thư · Vương Tuấn truyện》:
“Tuấn mơ thấy người đưa cho mình một cây bút lớn như cột nhà, tỉnh dậy liền nói với người khác: ‘Chắc chắn sẽ có chuyện lớn viết ra.’”",
大红大紫,dà hóng dà zǐ,đại hồng đại tử ,ABAC,Liên hợp,Tích cực,,"Dùng làm vị ngữ, tân ngữ, định ngữ; chỉ người phát đạt, nổi tiếng","Miêu tả sự hiển hách, đắc ý",高阳《胡雪岩全传·红顶商人》：“曾制台现在正大红大紫的时候，参他不倒。”,"Cao Dương – Hồ Tuyết Nham toàn truyện – Thương nhân mũ đỏ: “Hiện tại Tổng đốc Tăng đang lúc đại hồng đại tử, có tố cáo ông ta cũng không làm gì được.”",大富大贵,,"Lão She 《Tứ Thế Đồng Đường》:
“Tôi nhìn ra rồi, bây giờ làm gì cũng không thể nổi bật, ngoài làm quan và hát kịch!”",
大红大绿,dà hóng dà lǜ,đại hồng đại lục ,ABAC,Liên hợp,Tích cực,Thành ngữ về màu sắc,"Dùng làm tân ngữ, định ngữ; chỉ màu sắc sặc sỡ",Chỉ màu sắc đậm và rực rỡ,她的衣着大红大绿，很远就能认出来。,"Cô ấy mặc đồ đỏ chói xanh lè, từ xa đã có thể nhận ra.",大红大紫,,"Lão She 《Tân Thời Đại Cổ Bi Kịch》, đoạn 7:
“Khắp nơi đều là lớp dầu mới, đỏ chói xanh lè, giống như cô dâu ở quê, cố gắng trang điểm nhưng lại trông rất khó chịu.”",
大经大法,dà jīng dà fǎ,đại kinh đại pháp,ABAC,Liên hợp,Tích cực,,"Dùng làm tân ngữ, định ngữ; sử dụng trong văn viết",Nguyên tắc và pháp luật căn bản,《经》云：‘乾道成男，坤道成女，乾坤定而后地平天成；女大须嫁，男大须婚，男女别后夫义妇顺。’这是大圣大贤的大经大法。★《儿女英雄传》第二五回,"Kinh rằng: “Trời sinh thành nam, đất sinh thành nữ, trời đất định rồi thì đất bằng trời sáng; gái lớn phải gả, trai lớn phải cưới, nam nữ phân biệt thì chồng nghĩa, vợ thuận.” Đây là đại kinh đại pháp của bậc thánh hiền.",,,"Đường · Hàn Yu 《Với Mạnh Thượng Thư》:
“Những đại kinh đại pháp, đều đã bị tiêu vong mà không được cứu vớt, hư hỏng mà không được thu lại.”",
大缪不然,dà miù bù rán,đại mục bất nhiên,,Chính phụ,Tích cực,,"Dùng làm vị ngữ, tân ngữ; sử dụng trong văn viết","Sai hoàn toàn, hoàn toàn không phải như vậy. Tương đương với “hoàn toàn sai lầm”.",,,大谬不然,,"Minh · Trương Kính Tu 《Văn Trung Công Hành Thực》:
“Thái sư biết rõ việc này có sự sai sót lớn, không phải như vậy, bèn giải thích với trên, xin dùng trăm miệng bảo đảm là không có gì khác.”",
大而化之,dà ér huà zhī,đại nhi hóa chi,,Chính phụ,Tích cực,Thành ngữ về sự cẩu thả,"Dùng làm vị ngữ; ví việc làm qua loa, cẩu thả","化：thay đổi, biến hóa.
Ban đầu chỉ việc phổ biến rộng rãi để cảm hóa thiên hạ; sau dùng để miêu tả làm việc không cẩn thận, qua quýt.",邓小平《悼伯承》：“伯承最反对军事指挥上墨守成规，粗枝大叶，大而化之。”,"Đặng Tiểu Bình – Điếu văn tưởng niệm Bác Thành: “Bác Thành phản đối nhất là trong chỉ huy quân sự mà cứ máy móc rập khuôn, làm việc cẩu thả, qua loa đại khái.”",粗枝大叶、马马虎虎,,"《Mạnh Tử · Tận Tâm hạ》:
“Lớn mà hóa thành, đó gọi là thánh.”",
